,PMCID,Class_mean
267,['4690045'],Relevant
268,['4827596'],Relevant
269,['3780952'],Relevant
270,['6560455'],Relevant
271,['3417367'],Relevant
272,['6769897'],Relevant
273,['4166954'],Relevant
274,['6781570'],Relevant
275,['5899746'],Relevant
276,['8240104'],Relevant
277,['8300778'],Relevant
278,['6466574'],Relevant
279,['4280177'],Relevant
280,['8409726'],Relevant
281,['6685928'],Relevant
282,['7232449'],Relevant
283,['4263297'],Relevant
284,['8358304'],Relevant
285,['7650674'],Relevant
286,['1865382'],Relevant
287,['7979712'],Relevant
288,['8115898'],Relevant
289,['3876575'],Relevant
290,['4675943'],Relevant
291,['5294537'],Relevant
292,['7029220'],Relevant
293,['2757582'],Relevant
294,['5653721'],Relevant
295,['8093917'],Relevant
296,['3901891'],Relevant
297,['5812520'],Relevant
298,['7304486'],Relevant
299,['7937881'],Relevant
300,['4808186'],Relevant
301,['7178285'],Relevant
302,['3030684'],Relevant
303,['6100412'],Relevant
304,['4621705'],Relevant
305,['3220254'],Relevant
306,['7432025'],Relevant
307,['8149751'],Relevant
308,['8334005'],Relevant
309,['8268410'],Relevant
310,['5686800'],Relevant
311,['4382537'],Relevant
312,['3827270'],Relevant
313,['4511580'],Relevant
314,['2643114'],Relevant
315,['3815368'],Relevant
316,['3993491'],Relevant
317,['3333477'],Relevant
318,['7025521'],Relevant
319,['4897893'],Relevant
320,['7292801'],Relevant
321,['3815421'],Relevant
322,['3469428'],Relevant
323,['5790435'],Relevant
324,['6887943'],Relevant
325,['4500462'],Relevant
326,['6791012'],Relevant
327,['3639163'],Relevant
328,['7213576'],Relevant
329,['5118997'],Relevant
330,['3485979'],Relevant
331,['4432960'],Relevant
332,['6454276'],Relevant
333,['8053276'],Relevant
334,['8215175'],Relevant
335,['6563736'],Relevant
336,['7680869'],Relevant
337,['4435065'],Relevant
338,['7074698'],Relevant
339,['8401664'],Relevant
340,['8045364'],Relevant
341,['7761178'],Relevant
342,['6867893'],Relevant
343,['3608713'],Relevant
344,['8196190'],Relevant
345,['5341023'],Relevant
346,['3652290'],Relevant
347,['7168130'],Relevant
348,['6092378'],Relevant
349,['3237037'],Relevant
350,['7537969'],Relevant
351,['5908065'],Relevant
352,['3976366'],Relevant
353,['8226744'],Relevant
354,['3030509'],Relevant
355,['6435816'],Relevant
356,['7224010'],Relevant
357,['5507300'],Relevant
358,['8146736'],Relevant
359,['3569272'],Relevant
360,['7677515'],Relevant
361,['5566955'],Relevant
362,['8498110'],Relevant
363,['8233890'],Relevant
364,['539331'],Relevant
365,['3189412'],Relevant
366,['7978324'],Relevant
367,['6333372'],Relevant
368,['7149986'],Relevant
369,['5489788'],Relevant
370,['7045314'],Relevant
371,['3529544'],Relevant
372,['7928709'],Relevant
373,['3560386'],Relevant
374,['5039525'],Relevant
375,['4790341'],Relevant
376,['4059476'],Relevant
377,['7327761'],Relevant
378,['7504511'],Relevant
379,['3881775'],Relevant
380,['3487222'],Relevant
381,['7912840'],Relevant
382,['7663024'],Relevant
383,['8303546'],Relevant
384,['4557003'],Relevant
385,['5487729'],Relevant
386,['7581866'],Relevant
387,['5890740'],Relevant
388,['3172042'],Relevant
389,['5988894'],Relevant
390,['8467567'],Relevant
391,['3366764'],Relevant
392,['4279029'],Relevant
393,['8368853'],Relevant
394,['2873758'],Relevant
395,['5727142'],Relevant
396,['4959515'],Relevant
397,['4870398'],Relevant
398,['3679416'],Relevant
399,['5133688'],Relevant
400,['7029851'],Relevant
401,['4759269'],Relevant
402,['3359211'],Relevant
403,['4243444'],Relevant
404,['7129916'],Relevant
405,['5495459'],Relevant
406,['8278220'],Relevant
407,['8120311'],Relevant
408,['2222628'],Relevant
409,['7466045'],Relevant
410,['4962027'],Relevant
411,['8400312'],Relevant
412,['5125707'],Relevant
413,['4703848'],Relevant
414,['4844700'],Relevant
415,['8308592'],Relevant
416,['3420335'],Relevant
417,['7926516'],Relevant
418,['6316141'],Relevant
419,['7168257'],Relevant
420,['6171935'],Relevant
421,['6591645'],Relevant
422,['7123568'],Relevant
423,['3143681'],Relevant
424,['3670865'],Relevant
425,['7457799'],Relevant
426,['7692639'],Relevant
427,['6736374'],Relevant
428,['6937992'],Relevant
429,['4237437'],Relevant
430,['7598113'],Relevant
431,['7503635'],Relevant
432,['6930155'],Relevant
433,['1924603'],Relevant
434,['3491834'],Relevant
435,['6518950'],Relevant
436,['6441553'],Relevant
437,['8406936'],Relevant
438,['7117660'],Relevant
439,['3123327'],Relevant
440,['3445576'],Relevant
441,['3316591'],Relevant
442,['2748101'],Relevant
443,['7697847'],Relevant
444,['7407088'],Relevant
445,['7173210'],Relevant
446,['7221013'],Relevant
447,['7106814'],Relevant
448,['7321139'],Relevant
449,['4776018'],Relevant
450,['6268044'],Relevant
451,['5666154'],Relevant
452,['8215347'],Relevant
453,['3625434'],Relevant
454,['5436749'],Relevant
455,['7902069'],Relevant
456,['5599465'],Relevant
457,['6523755'],Relevant
458,['6423724'],Relevant
459,['8066128'],Relevant
460,['7764233'],Relevant
461,['7565385'],Relevant
462,['8210077'],Relevant
463,['5672523'],Relevant
464,['4388096'],Relevant
465,['3663190'],Relevant
466,['8222677'],Relevant
467,['7930741'],Relevant
468,['2649132'],Relevant
469,['6723624'],Relevant
470,['6321870'],Relevant
471,['6272196'],Relevant
472,['8389036'],Relevant
473,['5874710'],Relevant
474,['6473376'],Relevant
475,['6711568'],Relevant
476,['7589898'],Relevant
477,['4790334'],Relevant
478,['4863599'],Relevant
479,['6678465'],Relevant
480,['3842914'],Relevant
481,['5640684'],Relevant
482,['4148430'],Relevant
483,['8144606'],Relevant
484,['7103330'],Relevant
485,['4263727'],Relevant
486,['7524153'],Relevant
487,['6864768'],Relevant
488,['4344678'],Relevant
489,['7283535'],Relevant
490,['4162903'],Relevant
491,['6521127'],Relevant
492,['7157536'],Relevant
493,['4807367'],Relevant
494,['7737717'],Relevant
495,['7581861'],Relevant
496,['5554274'],Relevant
497,['7092672'],Relevant
498,['5892270'],Relevant
499,['6449356'],Relevant
500,['7284617'],Relevant
501,['8252965'],Relevant
502,['7468467'],Relevant
503,['8229198'],Relevant
504,['4038896'],Relevant
505,['2753365'],Relevant
506,['8304980'],Relevant
507,['6482550'],Relevant
508,['6269750'],Relevant
509,['5587909'],Relevant
510,['6053208'],Relevant
511,['7913800'],Relevant
512,['5551215'],Relevant
513,['8235435'],Relevant
514,['8228794'],Relevant
515,['3929655'],Relevant
516,['7600537'],Relevant
517,['7037027'],Relevant
518,['7700524'],Relevant
519,['7912348'],Relevant
520,['7691350'],Relevant
521,['6155429'],Relevant
522,['7129621'],Relevant
523,['7851017'],Relevant
524,['4415318'],Relevant
525,['7460114'],Relevant
526,['8133835'],Relevant
527,['3018982'],Relevant
528,['7014725'],Relevant
529,['4295418'],Relevant
530,['7823557'],Relevant
531,['3290774'],Relevant
532,['4667094'],Relevant
533,['7246797'],Relevant
534,['4233050'],Relevant
535,['8019468'],Relevant
536,['4400169'],Relevant
537,['4052310'],Relevant
538,['3937824'],Relevant
539,['8471638'],Relevant
540,['7694446'],Relevant
541,['7235729'],Relevant
542,['5527614'],Relevant
543,['8151116'],Relevant
544,['6627156'],Relevant
545,['8307915'],Relevant
546,['6209406'],Relevant
547,['7277910'],Relevant
548,['7185659'],Relevant
549,['6784132'],Relevant
550,['8069554'],Relevant
551,['6306256'],Relevant
552,['6335563'],Relevant
553,['2137724'],Relevant
554,['3564043'],Relevant
555,['8301656'],Relevant
556,['138955'],Relevant
557,['4605293'],Relevant
558,['8182300'],Relevant
559,['7320239'],Relevant
560,['4873609'],Relevant
561,['3108736'],Relevant
562,['6190515'],Relevant
563,['7694903'],Relevant
564,['4696656'],Relevant
565,['3371814'],Relevant
566,['3598507'],Relevant
567,['2911681'],Relevant
568,['7123564'],Relevant
569,['7288454'],Relevant
570,['6139392'],Relevant
571,['6927303'],Relevant
572,['7157819'],Relevant
573,['7896880'],Relevant
574,['6600849'],Relevant
575,['3094442'],Relevant
576,['3983359'],Relevant
577,['7344827'],Relevant
578,['3937525'],Relevant
579,['2942819'],Relevant
580,['6155606'],Relevant
581,['6902357'],Relevant
582,['3794959'],Relevant
583,['3951395'],Relevant
584,['5431119'],Relevant
585,['3927574'],Relevant
586,['6699360'],Relevant
587,['3892153'],Relevant
588,['3610667'],Relevant
589,['7931625'],Relevant
590,['3521396'],Relevant
591,['3231281'],Relevant
592,['5350467'],Relevant
593,['5424208'],Relevant
594,['2883592'],Relevant
595,['4176475'],Relevant
596,['5550956'],Relevant
597,['6982392'],Relevant
598,['6225452'],Relevant
599,['6232825'],Relevant
600,['6678751'],Relevant
601,['7348771'],Relevant
602,['4709861'],Relevant
603,['7999966'],Relevant
604,['3609863'],Relevant
605,['6178380'],Relevant
606,['7081687'],Relevant
607,['2631803'],Relevant
608,['6796972'],Relevant
609,['5701432'],Relevant
610,['6594144'],Relevant
611,['2631777'],Relevant
612,['7817352'],Relevant
613,['3670847'],Relevant
614,['3746177'],Relevant
615,['6522121'],Relevant
616,['7168057'],Relevant
617,['7399985'],Relevant
618,['6418240'],Relevant
619,['7664025'],Relevant
620,['4704242'],Relevant
621,['6270753'],Relevant
622,['2929429'],Relevant
623,['7169652'],Relevant
624,['7934414'],Relevant
625,['8406137'],Relevant
626,['7602861'],Relevant
627,['4958252'],Relevant
628,['8105627'],Relevant
629,['7320173'],Relevant
630,['4721953'],Relevant
631,['7893419'],Relevant
632,['5416750'],Relevant
633,['6365497'],Relevant
634,['6563746'],Relevant
635,['5603022'],Relevant
636,['5662595'],Relevant
637,['4963858'],Relevant
638,['4717920'],Relevant
639,['7772732'],Relevant
640,['8401837'],Relevant
641,['8147811'],Relevant
642,['3182077'],Relevant
643,['5874912'],Relevant
644,['7399849'],Relevant
645,['7823745'],Relevant
646,['3944805'],Relevant
647,['7941887'],Relevant
648,['8217011'],Relevant
649,['8007912'],Relevant
650,['7047031'],Relevant
651,['2928293'],Relevant
652,['6627145'],Relevant
653,['6320770'],Relevant
654,['6535564'],Relevant
655,['6580034'],Relevant
656,['5717164'],Relevant
657,['2651862'],Relevant
658,['2774229'],Relevant
659,['5834885'],Relevant
660,['6801614'],Relevant
661,['3756968'],Relevant
662,['3709268'],Relevant
663,['4770286'],Relevant
664,['3815242'],Relevant
665,['5690318'],Relevant
666,['7812711'],Relevant
667,['7997583'],Relevant
668,['3328197'],Relevant
669,['3124529'],Relevant
670,['3145257'],Relevant
671,['7149361'],Relevant
672,['7038283'],Relevant
673,['4607518'],Relevant
674,['4129626'],Relevant
675,['6963710'],Relevant
676,['7241978'],Relevant
677,['5408752'],Relevant
678,['7358374'],Relevant
679,['2600273'],Relevant
680,['6588590'],Relevant
681,['7570522'],Relevant
682,['4035080'],Relevant
683,['4523840'],Relevant
684,['4026752'],Relevant
685,['6749585'],Relevant
686,['7665026'],Relevant
687,['7459901'],Relevant
688,['5210519'],Relevant
689,['8058205'],Relevant
690,['6313718'],Relevant
691,['8145940'],Relevant
692,['7314741'],Relevant
693,['8172872'],Relevant
694,['6258240'],Relevant
695,['4790380'],Relevant
696,['7219019'],Relevant
697,['7460354'],Relevant
698,['6921568'],Relevant
699,['6622151'],Relevant
700,['3478262'],Relevant
701,['3249888'],Relevant
702,['4143341'],Relevant
703,['4856313'],Relevant
704,['8348372'],Relevant
705,['6310605'],Relevant
706,['3815393'],Relevant
707,['6947519'],Relevant
708,['3873969'],Relevant
709,['5882664'],Relevant
710,['7826672'],Relevant
711,['7221614'],Relevant
712,['7725334'],Relevant
713,['5983563'],Relevant
714,['7911339'],Relevant
715,['4882796'],Relevant
716,['3987750'],Relevant
717,['7143945'],Relevant
718,['1475714'],Relevant
719,['2912275'],Relevant
720,['7056807'],Relevant
721,['5907650'],Relevant
722,['3705366'],Relevant
723,['8384518'],Relevant
724,['7996808'],Relevant
725,['2391262'],Relevant
726,['6780555'],Relevant
727,['3706747'],Relevant
728,['8230038'],Relevant
729,['8305375'],Relevant
730,['8496047'],Relevant
731,['5905577'],Relevant
732,['8221797'],Relevant
733,['5337499'],Relevant
734,['8038695'],Relevant
735,['5893884'],Relevant
736,['7498281'],Relevant
737,['7153328'],Relevant
738,['7130065'],Relevant
739,['5427115'],Relevant
740,['6874062'],Relevant
741,['3556118'],Relevant
742,['5573724'],Relevant
743,['7345125'],Relevant
744,['4046932'],Relevant
745,['7297381'],Relevant
746,['6123621'],Relevant
747,['6163296'],Relevant
748,['2707616'],Relevant
749,['4476826'],Relevant
750,['5100339'],Relevant
751,['2262945'],Relevant
752,['3049409'],Relevant
753,['7053137'],Relevant
754,['3366878'],Relevant
755,['5560527'],Relevant
756,['5341189'],Relevant
757,['4432335'],Relevant
758,['3658426'],Relevant
759,['4725001'],Relevant
760,['3985860'],Relevant
761,['7564983'],Relevant
762,['5872134'],Relevant
763,['6155833'],Relevant
764,['7505479'],Relevant
765,['8066844'],Relevant
766,['6963422'],Relevant
767,['7093903'],Relevant
768,['3410848'],Relevant
769,['8225045'],Relevant
770,['7024382'],Relevant
771,['5999141'],Relevant
772,['7176746'],Relevant
773,['4391685'],Relevant
774,['3352104'],Relevant
775,['4162559'],Relevant
776,['5863438'],Relevant
777,['3826127'],Relevant
778,['5889950'],Relevant
779,['4784017'],Relevant
780,['3754961'],Relevant
781,['8400726'],Relevant
782,['5628525'],Relevant
783,['7662345'],Relevant
784,['6199538'],Relevant
785,['8278402'],Relevant
786,['5680289'],Relevant
787,['4034554'],Relevant
788,['4862533'],Relevant
789,['8281650'],Relevant
790,['2706954'],Relevant
791,['6083905'],Relevant
792,['6175910'],Relevant
793,['8151913'],Relevant
794,['4471857'],Relevant
795,['8471365'],Relevant
796,['8401462'],Relevant
797,['4563238'],Relevant
798,['7473167'],Relevant
799,['7913082'],Relevant
800,['5424203'],Relevant
801,['7327026'],Relevant
802,['3032642'],Relevant
803,['7839403'],Relevant
804,['6449604'],Relevant
805,['8471293'],Relevant
806,['3138739'],Relevant
807,['7671365'],Relevant
808,['7081307'],Relevant
809,['4515024'],Relevant
810,['6379999'],Relevant
811,['6852216'],Relevant
812,['6395908'],Relevant
813,['7404059'],Relevant
814,['4241510'],Relevant
815,['7722449'],Relevant
816,['3174152'],Relevant
817,['7150346'],Relevant
818,['3951391'],Relevant
819,['5881045'],Relevant
820,['8010192'],Relevant
821,['3691515'],Relevant
822,['6152325'],Relevant
823,['7245977'],Relevant
824,['8470919'],Relevant
825,['4964394'],Relevant
826,['7074821'],Relevant
827,['7589547'],Relevant
828,['5736357'],Relevant
829,['5617981'],Relevant
830,['8465003'],Relevant
831,['8086231'],Relevant
832,['8438517'],Relevant
833,['1971073'],Relevant
834,['7563162'],Relevant
835,['6632187'],Relevant
836,['3123600'],Relevant
837,['6251167'],Relevant
838,['2809737'],Relevant
839,['2518619'],Relevant
840,['3306420'],Relevant
841,['4758708'],Relevant
842,['4073975'],Relevant
843,['8296556'],Relevant
844,['4817400'],Relevant
845,['3610138'],Relevant
846,['4806972'],Relevant
847,['7149397'],Relevant
848,['8043354'],Relevant
849,['5615136'],Relevant
850,['4929437'],Relevant
851,['6010097'],Relevant
852,['3925563'],Relevant
853,['3245312'],Relevant
854,['5727411'],Relevant
855,['6332302'],Relevant
856,['6166382'],Relevant
857,['7084853'],Relevant
858,['3994528'],Relevant
859,['4929435'],Relevant
860,['7400354'],Relevant
861,['4568539'],Relevant
862,['8496446'],Relevant
863,['1326238'],Relevant
864,['3468078'],Relevant
865,['7397017'],Relevant
866,['4606545'],Relevant
867,['3762836'],Relevant
868,['4500473'],Relevant
869,['5083130'],Relevant
870,['7283322'],Relevant
871,['7459602'],Relevant
872,['5885025'],Relevant
873,['6719014'],Relevant
874,['8234114'],Relevant
875,['3625739'],Relevant
876,['7062872'],Relevant
877,['420483'],Relevant
878,['7465149'],Relevant
879,['7763537'],Relevant
880,['8353456'],Relevant
881,['8037310'],Relevant
882,['5740357'],Relevant
883,['7277857'],Relevant
884,['7290601'],Relevant
885,['6737581'],Relevant
886,['7530986'],Relevant
887,['3202758'],Relevant
888,['7148516'],Relevant
889,['7137373'],Relevant
890,['7152394'],Relevant
891,['5770469'],Relevant
892,['3818855'],Relevant
893,['6620235'],Relevant
894,['8383303'],Relevant
895,['4753412'],Relevant
896,['3983516'],Relevant
897,['8186047'],Relevant
898,['6291627'],Relevant
899,['8398168'],Relevant
900,['5138185'],Relevant
901,['4879404'],Relevant
902,['4324311'],Relevant
903,['6636059'],Relevant
904,['3673627'],Relevant
905,['5245116'],Relevant
906,['3519856'],Relevant
907,['5812547'],Relevant
908,['5030221'],Relevant
909,['4858918'],Relevant
910,['6215266'],Relevant
911,['7927808'],Relevant
912,['5039641'],Relevant
913,['2732560'],Relevant
914,['3020362'],Relevant
915,['5467266'],Relevant
916,['6787224'],Relevant
917,['6036128'],Relevant
918,['7937258'],Relevant
919,['4924298'],Relevant
920,['3543242'],Relevant
921,['3108730'],Relevant
922,['5982138'],Relevant
923,['7804268'],Relevant
924,['6520454'],Relevant
925,['7847026'],Relevant
926,['8374425'],Relevant
927,['7096625'],Relevant
928,['8150915'],Relevant
929,['8431294'],Relevant
930,['7350316'],Relevant
931,['7074733'],Relevant
932,['7455577'],Relevant
933,['3522447'],Relevant
934,['2630047'],Relevant
935,['2640773'],Relevant
936,['3177640'],Relevant
937,['5187513'],Relevant
938,['4872528'],Relevant
939,['5960329'],Relevant
940,['3812183'],Relevant
941,['6705331'],Relevant
942,['5772238'],Relevant
943,['5775570'],Relevant
944,['7990689'],Relevant
945,['3536979'],Relevant
946,['5367564'],Relevant
947,['6477053'],Relevant
948,['6626368'],Relevant
949,['7353097'],Relevant
950,['7064769'],Relevant
951,['4877114'],Relevant
952,['7920481'],Relevant
953,['7120817'],Relevant
954,['5727363'],Relevant
955,['4355487'],Relevant
956,['7523053'],Relevant
957,['4550772'],Relevant
958,['6696637'],Relevant
959,['8002588'],Relevant
960,['5758725'],Relevant
961,['7094699'],Relevant
962,['7368946'],Relevant
963,['3198410'],Relevant
964,['7338688'],Relevant
965,['7345618'],Relevant
966,['3467222'],Relevant
967,['4358391'],Relevant
968,['5025758'],Relevant
969,['3985747'],Relevant
970,['4219678'],Relevant
971,['3930635'],Relevant
972,['7771680'],Relevant
973,['7913919'],Relevant
974,['4689354'],Relevant
975,['8097410'],Relevant
976,['8466554'],Relevant
977,['8055394'],Relevant
978,['8512414'],Relevant
979,['4744398'],Relevant
980,['5720513'],Relevant
981,['8373060'],Relevant
982,['8248536'],Relevant
983,['7957730'],Relevant
984,['7463591'],Relevant
985,['3397485'],Relevant
986,['7890624'],Relevant
987,['4202715'],Relevant
988,['6403454'],Relevant
989,['2391260'],Relevant
990,['5247793'],Relevant
991,['8399204'],Relevant
992,['4545773'],Relevant
993,['3681621'],Relevant
994,['5078570'],Relevant
995,['7730664'],Relevant
996,['2440964'],Relevant
997,['3320011'],Relevant
998,['4117218'],Relevant
999,['6830003'],Relevant
1000,['5043579'],Relevant
1001,['7918085'],Relevant
1002,['5040788'],Relevant
1003,['4802897'],Relevant
1004,['6800862'],Relevant
1005,['5346588'],Relevant
1006,['4974804'],Relevant
1007,['5595328'],Relevant
1008,['6127315'],Relevant
1009,['4640655'],Relevant
1010,['5821984'],Relevant
1011,['7866108'],Relevant
1012,['8148204'],Relevant
1013,['6563750'],Relevant
1014,['3240657'],Relevant
1015,['7139808'],Relevant
1016,['5632352'],Relevant
1017,['2997539'],Relevant
1018,['3189763'],Relevant
1019,['7843400'],Relevant
1020,['5601635'],Relevant
1021,['6274096'],Relevant
1022,['2629466'],Relevant
1023,['4249368'],Relevant
1024,['5210501'],Relevant
1025,['3454323'],Relevant
1026,['4684797'],Relevant
1027,['2367384'],Relevant
1028,['7119925'],Relevant
1029,['2556341'],Relevant
1030,['6296576'],Relevant
1031,['5038265'],Relevant
1032,['3347995'],Relevant
1033,['7663458'],Relevant
1034,['3210996'],Relevant
1035,['3585733'],Relevant
1036,['5241705'],Relevant
1037,['6616856'],Relevant
1038,['8196372'],Relevant
1039,['7564025'],Relevant
1040,['4320837'],Relevant
1041,['8353453'],Relevant
1042,['5124574'],Relevant
1043,['7696078'],Relevant
1044,['6463129'],Relevant
1045,['8300704'],Relevant
1046,['2832898'],Relevant
1047,['7670754'],Relevant
1048,['7730455'],Relevant
1049,['5452821'],Relevant
1050,['7459458'],Relevant
1051,['6520443'],Relevant
1052,['7265639'],Relevant
1053,['3723915'],Relevant
1054,['6426872'],Relevant
1055,['4752606'],Relevant
1056,['2229831'],Relevant
1057,['7345809'],Relevant
1058,['5511925'],Relevant
1059,['4609117'],Relevant
1060,['7019939'],Relevant
1061,['8308502'],Relevant
1062,['3657136'],Relevant
1063,['6783444'],Relevant
1064,['7642336'],Relevant
1065,['4036041'],Relevant
1066,['7924209'],Relevant
1067,['6538783'],Relevant
1068,['8116780'],Relevant
